audio_1,audio_2,score,label,predict_label
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/272-M-26/speaker_272_16.wav,0.5826106,1,1
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/642-F-32/642_11.wav,0.15198848,0,0
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/272-M-26/speaker_272_4.wav,0.6197812,1,1
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/600-M-29/600_19.wav,0.21342953,0,0
dataset/tow/wavs/272-M-26/speaker_272_16.wav,dataset/tow/wavs/272-M-26/speaker_272_4.wav,0.64204454,1,1
dataset/tow/wavs/272-M-26/speaker_272_16.wav,dataset/tow/wavs/764-M-29/764_0_vad_1.wav,0.26689318,0,0
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/424-M-28/424_43.wav,0.6420493,1,1
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/496-M-50/496_26.wav,0.061712287,0,0
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/424-M-28/424_3_vad_0.wav,0.60284126,1,1
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/51-F-30/51_6.wav,0.22895591,0,0
dataset/tow/wavs/424-M-28/424_43.wav,dataset/tow/wavs/424-M-28/424_3_vad_0.wav,0.46552572,1,0
dataset/tow/wavs/424-M-28/424_43.wav,dataset/tow/wavs/470-F-29/470_20.wav,0.13978195,0,0
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/425-F-27/425_3_vad_0.wav,0.715392,1,1
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/482-F-35/482_12_vad_1.wav,0.3038607,0,0
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/425-F-27/425_6.wav,0.6210958,1,1
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/525-M-29/525_7_vad_0.wav,0.15315057,0,0
dataset/tow/wavs/425-F-27/425_3_vad_0.wav,dataset/tow/wavs/425-F-27/425_6.wav,0.6143462,1,1
dataset/tow/wavs/425-F-27/425_3_vad_0.wav,dataset/tow/wavs/457-M-36/457_6.wav,0.06924258,0,0
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/426-F-48/426_25_vad_1.wav,0.5673068,1,1
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/794-M-30/794_8.wav,0.09092126,0,0
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/426-F-48/426_12.wav,0.6217486,1,1
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/49-F-26/49_1_vad_0.wav,0.13909492,0,0
dataset/tow/wavs/426-F-48/426_25_vad_1.wav,dataset/tow/wavs/426-F-48/426_12.wav,0.6312736,1,1
dataset/tow/wavs/426-F-48/426_25_vad_1.wav,dataset/tow/wavs/489-F-28/489_12.wav,0.09833976,0,0
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/427-M-45/427_14_vad_0.wav,0.66450274,1,1
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/573-F-28/573_0_vad_1.wav,0.13754389,0,0
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/427-M-45/427_30_vad_3.wav,0.5470663,1,1
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/738-M-30/738_12_vad_0.wav,0.4976694,0,1
dataset/tow/wavs/427-M-45/427_14_vad_0.wav,dataset/tow/wavs/427-M-45/427_30_vad_3.wav,0.6072788,1,1
dataset/tow/wavs/427-M-45/427_14_vad_0.wav,dataset/tow/wavs/490-F-35/490_19.wav,0.16369231,0,0
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/428-M-25/428_20_vad_0.wav,0.62147427,1,1
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/5-F-27/5_4.wav,0.34863028,0,0
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/428-M-25/428_15.wav,0.6792887,1,1
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/95-F-28/95_27.wav,0.092298515,0,0
dataset/tow/wavs/428-M-25/428_20_vad_0.wav,dataset/tow/wavs/428-M-25/428_15.wav,0.72941774,1,1
dataset/tow/wavs/428-M-25/428_20_vad_0.wav,dataset/tow/wavs/656-F-25/656_21.wav,0.07910778,0,0
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/429-F-25/429_24.wav,0.54977477,1,1
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/710-M-35/710_3_vad_0.wav,0.32078412,0,0
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/429-F-25/429_26.wav,0.63727176,1,1
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/806-M-32/806_23.wav,0.13500541,0,0
dataset/tow/wavs/429-F-25/429_24.wav,dataset/tow/wavs/429-F-25/429_26.wav,0.54190767,1,1
dataset/tow/wavs/429-F-25/429_24.wav,dataset/tow/wavs/639-F-26/639_0.wav,0.26374906,0,0
dataset/tow/wavs/43-F-27/43_21.wav,dataset/tow/wavs/43-F-27/43_19_vad_0.wav,0.6410598,1,1
dataset/tow/wavs/43-F-27/43_21.wav,dataset/tow/wavs/653-M-33/653_20.wav,0.30675703,0,0
dataset/tow/wavs/43-F-27/43_21.wav,dataset/tow/wavs/43-F-27/43_19.wav,0.63496745,1,1
dataset/tow/wavs/43-F-27/43_21.wav,dataset/tow/wavs/563-F-29/563_10.wav,0.27325678,0,0
dataset/tow/wavs/43-F-27/43_19_vad_0.wav,dataset/tow/wavs/43-F-27/43_19.wav,0.96112955,1,1
dataset/tow/wavs/43-F-27/43_19_vad_0.wav,dataset/tow/wavs/594-F-25/594_5.wav,0.12831889,0,0
dataset/tow/wavs/430-M-28/430_2.wav,dataset/tow/wavs/430-M-28/430_12_vad_0.wav,0.6449698,1,1
dataset/tow/wavs/430-M-28/430_2.wav,dataset/tow/wavs/527-M-24/527_19.wav,0.44658166,0,0
dataset/tow/wavs/430-M-28/430_2.wav,dataset/tow/wavs/430-M-28/430_7_vad_0.wav,0.6414493,1,1
dataset/tow/wavs/430-M-28/430_2.wav,dataset/tow/wavs/474-M-28/474_31.wav,0.40509957,0,0
dataset/tow/wavs/430-M-28/430_12_vad_0.wav,dataset/tow/wavs/430-M-28/430_7_vad_0.wav,0.6687032,1,1
dataset/tow/wavs/430-M-28/430_12_vad_0.wav,dataset/tow/wavs/783-F-34/783_1.wav,0.1791888,0,0
dataset/tow/wavs/431-F-27/431_1.wav,dataset/tow/wavs/431-F-27/431_17.wav,0.693253,1,1
dataset/tow/wavs/431-F-27/431_1.wav,dataset/tow/wavs/566-F-32/566_2_vad_1.wav,0.29783243,0,0
dataset/tow/wavs/431-F-27/431_1.wav,dataset/tow/wavs/431-F-27/431_22.wav,0.75422204,1,1
dataset/tow/wavs/431-F-27/431_1.wav,dataset/tow/wavs/724-M-31/724-7.wav,0.17122436,0,0
dataset/tow/wavs/431-F-27/431_17.wav,dataset/tow/wavs/431-F-27/431_22.wav,0.7261512,1,1
dataset/tow/wavs/431-F-27/431_17.wav,dataset/tow/wavs/467-M-37/467_3.wav,0.33803385,0,0
dataset/tow/wavs/432-M-27/432_34_vad_0.wav,dataset/tow/wavs/432-M-27/432_45.wav,0.7439221,1,1
dataset/tow/wavs/432-M-27/432_34_vad_0.wav,dataset/tow/wavs/761-F-29/761_14.wav,0.069717504,0,0
dataset/tow/wavs/432-M-27/432_34_vad_0.wav,dataset/tow/wavs/432-M-27/432_19.wav,0.6724469,1,1
dataset/tow/wavs/432-M-27/432_34_vad_0.wav,dataset/tow/wavs/661-M-36/661_5.wav,0.1086155,0,0
dataset/tow/wavs/432-M-27/432_45.wav,dataset/tow/wavs/432-M-27/432_19.wav,0.6441733,1,1
dataset/tow/wavs/432-M-27/432_45.wav,dataset/tow/wavs/665-F-26/665_0.wav,0.059981633,0,0
dataset/tow/wavs/433-F-26/433_18.wav,dataset/tow/wavs/433-F-26/433_39.wav,0.6959413,1,1
dataset/tow/wavs/433-F-26/433_18.wav,dataset/tow/wavs/792-M-31/792_14_vad_0.wav,0.18639326,0,0
dataset/tow/wavs/433-F-26/433_18.wav,dataset/tow/wavs/433-F-26/433_4.wav,0.70538306,1,1
dataset/tow/wavs/433-F-26/433_18.wav,dataset/tow/wavs/441-M-37/441_18.wav,0.19872634,0,0
dataset/tow/wavs/433-F-26/433_39.wav,dataset/tow/wavs/433-F-26/433_4.wav,0.6242342,1,1
dataset/tow/wavs/433-F-26/433_39.wav,dataset/tow/wavs/570-F-24/570_22_vad_0.wav,0.1890877,0,0
dataset/tow/wavs/434-F-30/434_30_vad_0.wav,dataset/tow/wavs/434-F-30/434_34.wav,0.5391365,1,1
