audio_1,audio_2,score,label,predict_label
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/272-M-26/speaker_272_16.wav,0.6595398,1,1
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/642-F-32/642_11.wav,0.2468923,0,0
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/272-M-26/speaker_272_4.wav,0.66787493,1,1
dataset/tow/wavs/272-M-26/speaker_272_21.wav,dataset/tow/wavs/600-M-29/600_19.wav,0.40766397,0,0
dataset/tow/wavs/272-M-26/speaker_272_16.wav,dataset/tow/wavs/272-M-26/speaker_272_4.wav,0.80821675,1,1
dataset/tow/wavs/272-M-26/speaker_272_16.wav,dataset/tow/wavs/764-M-29/764_0_vad_1.wav,0.2765466,0,0
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/424-M-28/424_43.wav,0.72258663,1,1
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/496-M-50/496_26.wav,0.11857258,0,0
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/424-M-28/424_3_vad_0.wav,0.7505075,1,1
dataset/tow/wavs/424-M-28/424_27.wav,dataset/tow/wavs/51-F-30/51_6.wav,0.300527,0,0
dataset/tow/wavs/424-M-28/424_43.wav,dataset/tow/wavs/424-M-28/424_3_vad_0.wav,0.6813243,1,1
dataset/tow/wavs/424-M-28/424_43.wav,dataset/tow/wavs/470-F-29/470_20.wav,0.11777796,0,0
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/425-F-27/425_3_vad_0.wav,0.6457335,1,1
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/482-F-35/482_12_vad_1.wav,0.17649797,0,0
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/425-F-27/425_6.wav,0.5297784,1,1
dataset/tow/wavs/425-F-27/425_5.wav,dataset/tow/wavs/525-M-29/525_7_vad_0.wav,0.170989,0,0
dataset/tow/wavs/425-F-27/425_3_vad_0.wav,dataset/tow/wavs/425-F-27/425_6.wav,0.6256278,1,1
dataset/tow/wavs/425-F-27/425_3_vad_0.wav,dataset/tow/wavs/457-M-36/457_6.wav,0.24294639,0,0
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/426-F-48/426_25_vad_1.wav,0.6972975,1,1
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/794-M-30/794_8.wav,0.15634558,0,0
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/426-F-48/426_12.wav,0.7270042,1,1
dataset/tow/wavs/426-F-48/426_33_vad_0.wav,dataset/tow/wavs/49-F-26/49_1_vad_0.wav,0.22374272,0,0
dataset/tow/wavs/426-F-48/426_25_vad_1.wav,dataset/tow/wavs/426-F-48/426_12.wav,0.6320527,1,1
dataset/tow/wavs/426-F-48/426_25_vad_1.wav,dataset/tow/wavs/489-F-28/489_12.wav,0.113132276,0,0
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/427-M-45/427_14_vad_0.wav,0.7066928,1,1
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/573-F-28/573_0_vad_1.wav,0.2556182,0,0
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/427-M-45/427_30_vad_3.wav,0.6714583,1,1
dataset/tow/wavs/427-M-45/427_12_vad_0.wav,dataset/tow/wavs/738-M-30/738_12_vad_0.wav,0.35168195,0,0
dataset/tow/wavs/427-M-45/427_14_vad_0.wav,dataset/tow/wavs/427-M-45/427_30_vad_3.wav,0.658222,1,1
dataset/tow/wavs/427-M-45/427_14_vad_0.wav,dataset/tow/wavs/490-F-35/490_19.wav,0.28308886,0,0
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/428-M-25/428_20_vad_0.wav,0.6197602,1,1
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/5-F-27/5_4.wav,0.29155988,0,0
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/428-M-25/428_15.wav,0.6119708,1,1
dataset/tow/wavs/428-M-25/428_2_vad_0.wav,dataset/tow/wavs/95-F-28/95_27.wav,0.28722745,0,0
dataset/tow/wavs/428-M-25/428_20_vad_0.wav,dataset/tow/wavs/428-M-25/428_15.wav,0.75881875,1,1
dataset/tow/wavs/428-M-25/428_20_vad_0.wav,dataset/tow/wavs/656-F-25/656_21.wav,0.26391754,0,0
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/429-F-25/429_24.wav,0.675228,1,1
dataset/tow/wavs/429-F-25/429_5.wav,dataset/tow/wavs/710-M-35/710_3_vad_0.wav,0.24620268,0,0
