
[TRAIN]------------------2022-03-21 03:12:49------------------

[TRAIN]------------------2022-03-21 03:14:05------------------

[TRAIN]------------------2022-03-21 03:15:24------------------

[TRAIN]------------------2022-03-21 03:21:38------------------

[TRAIN]------------------2022-03-21 03:22:06------------------

[TRAIN]------------------2022-03-21 03:22:56------------------

[TRAIN]------------------2022-03-21 03:25:42------------------

[TRAIN]------------------2022-03-21 03:26:22------------------

[TRAIN]------------------2022-03-21 03:29:39------------------

[TRAIN]------------------2022-03-21 03:30:27------------------

[TRAIN]------------------2022-03-21 03:31:13------------------

[TRAIN]------------------2022-03-21 03:31:31------------------

[TRAIN]------------------2022-03-21 03:33:06------------------
IT 1, LR 0.001000, TEER/TAcc 0.39, TLOSS 7.915865
IT 2, LR 0.001000, TEER/TAcc 7.44, TLOSS 5.136949
IT 3, LR 0.001000, TEER/TAcc 17.86, TLOSS 3.894650
IT 4, LR 0.001000, TEER/TAcc 26.82, TLOSS 3.177956
IT 5, LR 0.001000, TEER/TAcc 32.93, TLOSS 2.785750
IT 6, LR 0.001000, TEER/TAcc 38.90, TLOSS 2.477005
IT 7, LR 0.001000, TEER/TAcc 42.64, TLOSS 2.269831
IT 8, LR 0.001000, TEER/TAcc 46.57, TLOSS 2.115986
IT 9, LR 0.001000, TEER/TAcc 48.79, TLOSS 1.982826
IT 10, LR 0.001000, TEER/TAcc 51.17, TLOSS 1.854504
IT 11, LR 0.000950, TEER/TAcc 53.04, TLOSS 1.773772
IT 12, LR 0.000950, TEER/TAcc 56.19, TLOSS 1.653318
IT 13, LR 0.000950, TEER/TAcc 56.89, TLOSS 1.625765
IT 14, LR 0.000950, TEER/TAcc 58.14, TLOSS 1.535079
IT 15, LR 0.000950, TEER/TAcc 59.92, TLOSS 1.494883
IT 16, LR 0.000950, TEER/TAcc 60.70, TLOSS 1.473666
IT 17, LR 0.000950, TEER/TAcc 61.35, TLOSS 1.413125
IT 18, LR 0.000950, TEER/TAcc 61.64, TLOSS 1.402178
IT 19, LR 0.000950, TEER/TAcc 63.16, TLOSS 1.338726
IT 20, LR 0.000950, TEER/TAcc 63.74, TLOSS 1.311383
IT 21, LR 0.000902, TEER/TAcc 64.30, TLOSS 1.288620
IT 22, LR 0.000902, TEER/TAcc 65.46, TLOSS 1.251110
IT 23, LR 0.000902, TEER/TAcc 65.62, TLOSS 1.247711
IT 24, LR 0.000902, TEER/TAcc 67.06, TLOSS 1.189642
IT 25, LR 0.000902, TEER/TAcc 66.34, TLOSS 1.220214
IT 26, LR 0.000902, TEER/TAcc 67.60, TLOSS 1.168082
IT 27, LR 0.000902, TEER/TAcc 67.62, TLOSS 1.171081
IT 28, LR 0.000902, TEER/TAcc 68.29, TLOSS 1.124683
IT 29, LR 0.000902, TEER/TAcc 69.17, TLOSS 1.104037
IT 30, LR 0.000902, TEER/TAcc 68.59, TLOSS 1.108920
IT 31, LR 0.000857, TEER/TAcc 69.94, TLOSS 1.089972
IT 32, LR 0.000857, TEER/TAcc 70.13, TLOSS 1.052356
IT 33, LR 0.000857, TEER/TAcc 70.06, TLOSS 1.061386
IT 34, LR 0.000857, TEER/TAcc 70.96, TLOSS 1.027745
IT 35, LR 0.000857, TEER/TAcc 71.34, TLOSS 1.022417
IT 36, LR 0.000857, TEER/TAcc 71.15, TLOSS 1.029168
IT 37, LR 0.000857, TEER/TAcc 71.82, TLOSS 1.005818
IT 38, LR 0.000857, TEER/TAcc 72.07, TLOSS 0.978251
IT 39, LR 0.000857, TEER/TAcc 71.10, TLOSS 1.025673
IT 40, LR 0.000857, TEER/TAcc 72.02, TLOSS 0.992805
IT 41, LR 0.000815, TEER/TAcc 72.84, TLOSS 0.962168
IT 42, LR 0.000815, TEER/TAcc 72.97, TLOSS 0.954633
IT 43, LR 0.000815, TEER/TAcc 73.62, TLOSS 0.948396
IT 44, LR 0.000815, TEER/TAcc 73.21, TLOSS 0.946144
IT 45, LR 0.000815, TEER/TAcc 73.71, TLOSS 0.925235
IT 46, LR 0.000815, TEER/TAcc 73.25, TLOSS 0.933918
IT 47, LR 0.000815, TEER/TAcc 74.38, TLOSS 0.899622
IT 48, LR 0.000815, TEER/TAcc 74.26, TLOSS 0.909850
IT 49, LR 0.000815, TEER/TAcc 74.46, TLOSS 0.921248
IT 50, LR 0.000815, TEER/TAcc 74.09, TLOSS 0.910740
IT 51, LR 0.000774, TEER/TAcc 74.81, TLOSS 0.878917
IT 52, LR 0.000774, TEER/TAcc 74.90, TLOSS 0.882538
IT 53, LR 0.000774, TEER/TAcc 75.01, TLOSS 0.876684
IT 54, LR 0.000774, TEER/TAcc 75.26, TLOSS 0.866606
IT 55, LR 0.000774, TEER/TAcc 75.74, TLOSS 0.852004
IT 56, LR 0.000774, TEER/TAcc 76.10, TLOSS 0.826473
IT 57, LR 0.000774, TEER/TAcc 76.61, TLOSS 0.825887
IT 58, LR 0.000774, TEER/TAcc 76.29, TLOSS 0.825244
IT 59, LR 0.000774, TEER/TAcc 76.59, TLOSS 0.846385
IT 60, LR 0.000774, TEER/TAcc 76.54, TLOSS 0.808562
IT 61, LR 0.000735, TEER/TAcc 76.63, TLOSS 0.827307
IT 62, LR 0.000735, TEER/TAcc 76.68, TLOSS 0.813724
IT 63, LR 0.000735, TEER/TAcc 76.84, TLOSS 0.808918
IT 64, LR 0.000735, TEER/TAcc 77.03, TLOSS 0.806303
IT 65, LR 0.000735, TEER/TAcc 77.31, TLOSS 0.811881
IT 66, LR 0.000735, TEER/TAcc 77.16, TLOSS 0.794677
IT 67, LR 0.000735, TEER/TAcc 77.83, TLOSS 0.800977
IT 68, LR 0.000735, TEER/TAcc 77.61, TLOSS 0.780448
IT 69, LR 0.000735, TEER/TAcc 77.43, TLOSS 0.789832
IT 70, LR 0.000735, TEER/TAcc 77.65, TLOSS 0.785969
IT 71, LR 0.000698, TEER/TAcc 78.44, TLOSS 0.757503
IT 72, LR 0.000698, TEER/TAcc 78.52, TLOSS 0.757662
IT 73, LR 0.000698, TEER/TAcc 78.48, TLOSS 0.752417
IT 74, LR 0.000698, TEER/TAcc 77.98, TLOSS 0.759844
IT 75, LR 0.000698, TEER/TAcc 78.08, TLOSS 0.753806
IT 76, LR 0.000698, TEER/TAcc 78.32, TLOSS 0.757363
IT 77, LR 0.000698, TEER/TAcc 78.32, TLOSS 0.749722
IT 78, LR 0.000698, TEER/TAcc 78.91, TLOSS 0.751424
IT 79, LR 0.000698, TEER/TAcc 78.68, TLOSS 0.746736
IT 80, LR 0.000698, TEER/TAcc 78.08, TLOSS 0.757715
IT 81, LR 0.000663, TEER/TAcc 78.84, TLOSS 0.731805
IT 82, LR 0.000663, TEER/TAcc 79.38, TLOSS 0.730213
IT 83, LR 0.000663, TEER/TAcc 79.73, TLOSS 0.734699
IT 84, LR 0.000663, TEER/TAcc 79.17, TLOSS 0.727084
IT 85, LR 0.000663, TEER/TAcc 79.68, TLOSS 0.719893
IT 86, LR 0.000663, TEER/TAcc 79.28, TLOSS 0.713042
IT 87, LR 0.000663, TEER/TAcc 80.19, TLOSS 0.710991
IT 88, LR 0.000663, TEER/TAcc 79.81, TLOSS 0.714719
IT 89, LR 0.000663, TEER/TAcc 79.48, TLOSS 0.726909
IT 90, LR 0.000663, TEER/TAcc 79.58, TLOSS 0.700625
IT 91, LR 0.000630, TEER/TAcc 80.29, TLOSS 0.694039
IT 92, LR 0.000630, TEER/TAcc 80.14, TLOSS 0.695754
IT 93, LR 0.000630, TEER/TAcc 80.20, TLOSS 0.688282
IT 94, LR 0.000630, TEER/TAcc 80.44, TLOSS 0.684057
IT 95, LR 0.000630, TEER/TAcc 80.04, TLOSS 0.691933
IT 96, LR 0.000630, TEER/TAcc 80.14, TLOSS 0.698055
IT 97, LR 0.000630, TEER/TAcc 80.87, TLOSS 0.674942
IT 98, LR 0.000630, TEER/TAcc 79.98, TLOSS 0.689368
IT 99, LR 0.000630, TEER/TAcc 80.10, TLOSS 0.680296
IT 100, LR 0.000630, TEER/TAcc 80.24, TLOSS 0.691101
IT 101, LR 0.000599, TEER/TAcc 80.75, TLOSS 0.668500
IT 102, LR 0.000599, TEER/TAcc 80.55, TLOSS 0.678983
IT 103, LR 0.000599, TEER/TAcc 80.88, TLOSS 0.682040
IT 104, LR 0.000599, TEER/TAcc 81.53, TLOSS 0.643243
IT 105, LR 0.000599, TEER/TAcc 80.95, TLOSS 0.671800
IT 106, LR 0.000599, TEER/TAcc 81.30, TLOSS 0.661816
IT 107, LR 0.000599, TEER/TAcc 81.38, TLOSS 0.648267
IT 108, LR 0.000599, TEER/TAcc 80.99, TLOSS 0.661599
IT 109, LR 0.000599, TEER/TAcc 80.86, TLOSS 0.659144
IT 110, LR 0.000599, TEER/TAcc 80.69, TLOSS 0.676861
IT 111, LR 0.000569, TEER/TAcc 81.62, TLOSS 0.648241
IT 112, LR 0.000569, TEER/TAcc 81.55, TLOSS 0.646047
IT 113, LR 0.000569, TEER/TAcc 80.94, TLOSS 0.670863
IT 114, LR 0.000569, TEER/TAcc 81.44, TLOSS 0.649060
IT 115, LR 0.000569, TEER/TAcc 81.75, TLOSS 0.640959
IT 116, LR 0.000569, TEER/TAcc 81.50, TLOSS 0.641486
IT 117, LR 0.000569, TEER/TAcc 82.08, TLOSS 0.628975
IT 118, LR 0.000569, TEER/TAcc 81.96, TLOSS 0.641110
IT 119, LR 0.000569, TEER/TAcc 81.82, TLOSS 0.628524
IT 120, LR 0.000569, TEER/TAcc 82.12, TLOSS 0.636311
IT 121, LR 0.000540, TEER/TAcc 81.98, TLOSS 0.629095
IT 122, LR 0.000540, TEER/TAcc 82.27, TLOSS 0.641781
IT 123, LR 0.000540, TEER/TAcc 82.18, TLOSS 0.631990
IT 124, LR 0.000540, TEER/TAcc 82.08, TLOSS 0.614362
IT 125, LR 0.000540, TEER/TAcc 82.32, TLOSS 0.622392
IT 126, LR 0.000540, TEER/TAcc 82.21, TLOSS 0.616763
IT 127, LR 0.000540, TEER/TAcc 82.60, TLOSS 0.614002
IT 128, LR 0.000540, TEER/TAcc 82.27, TLOSS 0.619088
IT 129, LR 0.000540, TEER/TAcc 83.11, TLOSS 0.598707
IT 130, LR 0.000540, TEER/TAcc 82.49, TLOSS 0.632409
IT 131, LR 0.000513, TEER/TAcc 82.35, TLOSS 0.619550
IT 132, LR 0.000513, TEER/TAcc 82.89, TLOSS 0.605811
IT 133, LR 0.000513, TEER/TAcc 82.72, TLOSS 0.607658
IT 134, LR 0.000513, TEER/TAcc 82.64, TLOSS 0.599349
IT 135, LR 0.000513, TEER/TAcc 83.21, TLOSS 0.600186
IT 136, LR 0.000513, TEER/TAcc 82.22, TLOSS 0.614615
IT 137, LR 0.000513, TEER/TAcc 82.61, TLOSS 0.612588
IT 138, LR 0.000513, TEER/TAcc 83.14, TLOSS 0.591482
IT 139, LR 0.000513, TEER/TAcc 83.20, TLOSS 0.588812
IT 140, LR 0.000513, TEER/TAcc 83.35, TLOSS 0.588725
IT 141, LR 0.000488, TEER/TAcc 82.75, TLOSS 0.609615
IT 142, LR 0.000488, TEER/TAcc 82.91, TLOSS 0.599311
IT 143, LR 0.000488, TEER/TAcc 83.10, TLOSS 0.595558
IT 144, LR 0.000488, TEER/TAcc 83.23, TLOSS 0.593364
IT 145, LR 0.000488, TEER/TAcc 83.38, TLOSS 0.577070
IT 146, LR 0.000488, TEER/TAcc 83.23, TLOSS 0.599699
IT 147, LR 0.000488, TEER/TAcc 83.51, TLOSS 0.582825
IT 148, LR 0.000488, TEER/TAcc 83.13, TLOSS 0.585411
IT 149, LR 0.000488, TEER/TAcc 83.12, TLOSS 0.589670
IT 150, LR 0.000488, TEER/TAcc 83.08, TLOSS 0.597222
IT 151, LR 0.000463, TEER/TAcc 83.07, TLOSS 0.587825
IT 152, LR 0.000463, TEER/TAcc 83.38, TLOSS 0.589807
IT 153, LR 0.000463, TEER/TAcc 83.27, TLOSS 0.576206
IT 154, LR 0.000463, TEER/TAcc 83.23, TLOSS 0.584949
IT 155, LR 0.000463, TEER/TAcc 83.33, TLOSS 0.590036
IT 156, LR 0.000463, TEER/TAcc 83.55, TLOSS 0.575027
IT 157, LR 0.000463, TEER/TAcc 83.87, TLOSS 0.574466
IT 158, LR 0.000463, TEER/TAcc 83.93, TLOSS 0.565868
IT 159, LR 0.000463, TEER/TAcc 83.43, TLOSS 0.579083
IT 160, LR 0.000463, TEER/TAcc 84.16, TLOSS 0.565375
IT 161, LR 0.000440, TEER/TAcc 83.64, TLOSS 0.572706
IT 162, LR 0.000440, TEER/TAcc 84.03, TLOSS 0.576608
IT 163, LR 0.000440, TEER/TAcc 83.77, TLOSS 0.581358
IT 164, LR 0.000440, TEER/TAcc 83.59, TLOSS 0.570561
IT 165, LR 0.000440, TEER/TAcc 84.19, TLOSS 0.554819
IT 166, LR 0.000440, TEER/TAcc 83.83, TLOSS 0.564117
IT 167, LR 0.000440, TEER/TAcc 84.05, TLOSS 0.562389
IT 168, LR 0.000440, TEER/TAcc 83.90, TLOSS 0.578321
IT 169, LR 0.000440, TEER/TAcc 84.09, TLOSS 0.553420
IT 170, LR 0.000440, TEER/TAcc 83.97, TLOSS 0.568739
IT 171, LR 0.000418, TEER/TAcc 83.57, TLOSS 0.579807
IT 172, LR 0.000418, TEER/TAcc 83.92, TLOSS 0.569310
IT 173, LR 0.000418, TEER/TAcc 83.97, TLOSS 0.560332
IT 174, LR 0.000418, TEER/TAcc 83.91, TLOSS 0.570185
IT 175, LR 0.000418, TEER/TAcc 83.80, TLOSS 0.566207
IT 176, LR 0.000418, TEER/TAcc 84.04, TLOSS 0.563685
IT 177, LR 0.000418, TEER/TAcc 84.45, TLOSS 0.552522
IT 178, LR 0.000418, TEER/TAcc 84.59, TLOSS 0.542519
IT 179, LR 0.000418, TEER/TAcc 84.28, TLOSS 0.541051
IT 180, LR 0.000418, TEER/TAcc 84.58, TLOSS 0.550285
IT 181, LR 0.000397, TEER/TAcc 84.43, TLOSS 0.559683
IT 182, LR 0.000397, TEER/TAcc 84.34, TLOSS 0.552836
IT 183, LR 0.000397, TEER/TAcc 84.90, TLOSS 0.536764
IT 184, LR 0.000397, TEER/TAcc 84.16, TLOSS 0.559793
IT 185, LR 0.000397, TEER/TAcc 84.53, TLOSS 0.537849
IT 186, LR 0.000397, TEER/TAcc 84.30, TLOSS 0.557225
IT 187, LR 0.000397, TEER/TAcc 84.07, TLOSS 0.557630
IT 188, LR 0.000397, TEER/TAcc 84.54, TLOSS 0.544110
IT 189, LR 0.000397, TEER/TAcc 84.30, TLOSS 0.548099
IT 190, LR 0.000397, TEER/TAcc 84.40, TLOSS 0.538641
IT 191, LR 0.000377, TEER/TAcc 84.67, TLOSS 0.536829
IT 192, LR 0.000377, TEER/TAcc 84.16, TLOSS 0.549642
IT 193, LR 0.000377, TEER/TAcc 84.24, TLOSS 0.542277
IT 194, LR 0.000377, TEER/TAcc 84.56, TLOSS 0.534734
IT 195, LR 0.000377, TEER/TAcc 85.06, TLOSS 0.528625
IT 196, LR 0.000377, TEER/TAcc 84.50, TLOSS 0.531660
IT 197, LR 0.000377, TEER/TAcc 84.88, TLOSS 0.522786
IT 198, LR 0.000377, TEER/TAcc 84.63, TLOSS 0.547644
IT 199, LR 0.000377, TEER/TAcc 84.94, TLOSS 0.525796
IT 200, LR 0.000377, TEER/TAcc 84.60, TLOSS 0.540994
IT 201, LR 0.000358, TEER/TAcc 85.09, TLOSS 0.519439
IT 202, LR 0.000358, TEER/TAcc 84.25, TLOSS 0.553880
IT 203, LR 0.000358, TEER/TAcc 84.84, TLOSS 0.535445
IT 204, LR 0.000358, TEER/TAcc 85.14, TLOSS 0.529426
IT 205, LR 0.000358, TEER/TAcc 84.89, TLOSS 0.544515
IT 206, LR 0.000358, TEER/TAcc 84.54, TLOSS 0.538487
IT 207, LR 0.000358, TEER/TAcc 85.18, TLOSS 0.521510
IT 208, LR 0.000358, TEER/TAcc 84.70, TLOSS 0.531390
IT 209, LR 0.000358, TEER/TAcc 85.33, TLOSS 0.526259
IT 210, LR 0.000358, TEER/TAcc 84.63, TLOSS 0.534763
IT 211, LR 0.000341, TEER/TAcc 85.08, TLOSS 0.525345
IT 212, LR 0.000341, TEER/TAcc 85.24, TLOSS 0.530338
IT 213, LR 0.000341, TEER/TAcc 85.11, TLOSS 0.501878
IT 214, LR 0.000341, TEER/TAcc 84.61, TLOSS 0.532970
IT 215, LR 0.000341, TEER/TAcc 85.31, TLOSS 0.514956
IT 216, LR 0.000341, TEER/TAcc 85.12, TLOSS 0.515668
IT 217, LR 0.000341, TEER/TAcc 85.77, TLOSS 0.511449
IT 218, LR 0.000341, TEER/TAcc 84.90, TLOSS 0.515817
IT 219, LR 0.000341, TEER/TAcc 84.96, TLOSS 0.523705
IT 220, LR 0.000341, TEER/TAcc 84.57, TLOSS 0.540329
IT 221, LR 0.000324, TEER/TAcc 84.93, TLOSS 0.521667
IT 222, LR 0.000324, TEER/TAcc 85.50, TLOSS 0.508096
IT 223, LR 0.000324, TEER/TAcc 85.44, TLOSS 0.513410
IT 224, LR 0.000324, TEER/TAcc 85.65, TLOSS 0.507058
IT 225, LR 0.000324, TEER/TAcc 85.15, TLOSS 0.516289
IT 226, LR 0.000324, TEER/TAcc 84.97, TLOSS 0.523481
IT 227, LR 0.000324, TEER/TAcc 85.09, TLOSS 0.524172
IT 228, LR 0.000324, TEER/TAcc 85.57, TLOSS 0.507731
IT 229, LR 0.000324, TEER/TAcc 84.87, TLOSS 0.531241
IT 230, LR 0.000324, TEER/TAcc 85.31, TLOSS 0.505498
IT 231, LR 0.000307, TEER/TAcc 85.39, TLOSS 0.512278
IT 232, LR 0.000307, TEER/TAcc 85.34, TLOSS 0.511987
IT 233, LR 0.000307, TEER/TAcc 85.17, TLOSS 0.511004
IT 234, LR 0.000307, TEER/TAcc 85.40, TLOSS 0.524263
IT 235, LR 0.000307, TEER/TAcc 85.28, TLOSS 0.518767
IT 236, LR 0.000307, TEER/TAcc 85.78, TLOSS 0.489973
IT 237, LR 0.000307, TEER/TAcc 85.87, TLOSS 0.508945
IT 238, LR 0.000307, TEER/TAcc 85.52, TLOSS 0.506077
IT 239, LR 0.000307, TEER/TAcc 85.48, TLOSS 0.508107
IT 240, LR 0.000307, TEER/TAcc 85.76, TLOSS 0.500375
IT 241, LR 0.000292, TEER/TAcc 85.19, TLOSS 0.508632
IT 242, LR 0.000292, TEER/TAcc 85.83, TLOSS 0.511300
IT 243, LR 0.000292, TEER/TAcc 85.64, TLOSS 0.506950
IT 244, LR 0.000292, TEER/TAcc 86.12, TLOSS 0.489419
IT 245, LR 0.000292, TEER/TAcc 85.65, TLOSS 0.515752
IT 246, LR 0.000292, TEER/TAcc 85.90, TLOSS 0.495951
IT 247, LR 0.000292, TEER/TAcc 85.89, TLOSS 0.503009
IT 248, LR 0.000292, TEER/TAcc 85.61, TLOSS 0.508298
IT 249, LR 0.000292, TEER/TAcc 85.40, TLOSS 0.500169
IT 250, LR 0.000292, TEER/TAcc 85.86, TLOSS 0.498668
IT 251, LR 0.000277, TEER/TAcc 86.10, TLOSS 0.496302
IT 252, LR 0.000277, TEER/TAcc 85.53, TLOSS 0.503057
IT 253, LR 0.000277, TEER/TAcc 85.89, TLOSS 0.497720
IT 254, LR 0.000277, TEER/TAcc 85.72, TLOSS 0.501366
IT 255, LR 0.000277, TEER/TAcc 85.75, TLOSS 0.503865
IT 256, LR 0.000277, TEER/TAcc 85.93, TLOSS 0.494658
IT 257, LR 0.000277, TEER/TAcc 85.90, TLOSS 0.501962
IT 258, LR 0.000277, TEER/TAcc 85.94, TLOSS 0.487007
IT 259, LR 0.000277, TEER/TAcc 85.92, TLOSS 0.494313
